[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run CheckRoute Behavior [ RunTime:0.000680s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000760s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000415s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000462s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003166s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000336s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003270s ]
[ 2012-07-05T16:02:40+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000276s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run CheckRoute Behavior [ RunTime:0.000676s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000756s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000425s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000475s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003775s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000438s ]
