[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.003023s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '子团产品' LIMIT 1   [ RunTime:0.000333s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40990' LIMIT 1   [ RunTime:0.000261s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000335s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.002809s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31353' LIMIT 1   [ RunTime:0.000331s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_fenfang` [ RunTime:0.002919s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_chanpin_fenfang` WHERE `parentID` = '31353' ORDER BY time desc  [ RunTime:0.000366s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_datacr` [ RunTime:0.002396s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_datacr` [ RunTime:0.002458s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerp_datacr` WHERE 1=1 AND fenfangID='31370'  [ RunTime:0.000157s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_datacr` [ RunTime:0.002688s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_datacr` [ RunTime:0.002420s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerp_datacr` WHERE 1=1 AND fenfangID='31369'  [ RunTime:0.000171s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000603s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000654s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.027793s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000412s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000369s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.038700s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.006591s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006654s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000285s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000312s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000178s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000311s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001208s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000295s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000336s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003221s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000339s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000458s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.051902s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.003239s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006636s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000051s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000045s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000012s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000054s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.008718s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.008633s ]
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Use of undefined constant chanpinID - assumed 'chanpinID' 0b6d072871b2fda6f83bb7a01324c7f2.php 第 59 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  name 0b6d072871b2fda6f83bb7a01324c7f2.php 第 80 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  sex 0b6d072871b2fda6f83bb7a01324c7f2.php 第 81 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  manorchild 0b6d072871b2fda6f83bb7a01324c7f2.php 第 82 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  price 0b6d072871b2fda6f83bb7a01324c7f2.php 第 83 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  zhengjiantype 0b6d072871b2fda6f83bb7a01324c7f2.php 第 84 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  zhengjianhaoma 0b6d072871b2fda6f83bb7a01324c7f2.php 第 85 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  telnum 0b6d072871b2fda6f83bb7a01324c7f2.php 第 86 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  remark 0b6d072871b2fda6f83bb7a01324c7f2.php 第 87 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  name 0b6d072871b2fda6f83bb7a01324c7f2.php 第 80 行.
[ 2012-07-26T17:41:22+08:00 ] /Index.php?s=/Chanpin/zituanfenfang/chanpinID/31353 | NOTIC: [8] Undefined index:  sex 0b6d072871b2fda6f83bb7a01324c7f2.php 第 81 行.
