[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000649s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000756s ]
[ 2012-07-06T09:46:30+08:00 ] / | NOTIC: [8] Undefined offset:  1 Action.class.php 第 57 行.
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001485s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001593s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.011893s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011977s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000544s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000602s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000487s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000586s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002361s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000563s ]
[ 2012-07-06T09:46:30+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000609s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ route_check ] --START--
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | INFO: Run CheckRoute Behavior [ RunTime:0.000723s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000810s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ app_begin ] --START--
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000428s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000473s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003116s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000396s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003153s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000312s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002801s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '旅游产品' LIMIT 1   [ RunTime:0.000310s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002861s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000308s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_om_xianlu` [ RunTime:0.005625s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 309 行.
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `model` [ RunTime:0.002289s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002938s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = 40449  [ RunTime:0.000341s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 77 行.
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 78 行.
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined index:  uesrID MethodAction.class.php 第 81 行.
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined index:  uesrID MethodAction.class.php 第 81 行.
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_om_xianlu` [ RunTime:0.005322s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT DISTINCT  COUNT(*) AS tp_count FROM `myerpview_om_xianlu` WHERE ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,')) LIMIT 1   [ RunTime:0.000474s ]
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-07-06T09:46:36+08:00 ] /Index.php?s=/Chanpin | NOTIC: [2] Division by zero Page.class.php 第 75 行.
