[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ route_check ] --START--
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run CheckRoute Behavior [ RunTime:0.000599s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000677s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ app_begin ] --START--
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000376s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000431s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003483s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000463s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003440s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000413s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002865s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '数据字典' LIMIT 1   [ RunTime:0.000313s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40995' LIMIT 1   [ RunTime:0.000263s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40975' LIMIT 1   [ RunTime:0.000255s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004639s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE ( `type` = '视频' )  [ RunTime:0.000405s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002866s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000346s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.003324s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '视频' LIMIT 1   [ RunTime:0.000388s ]
