[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ route_check ] --START--
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run CheckRoute Behavior [ RunTime:0.000567s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ route_check ] --END-- [ RunTime:0.000646s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ app_begin ] --START--
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000383s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000425s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003173s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000340s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002899s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000329s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002703s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '线路产品' LIMIT 1   [ RunTime:0.000290s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40972' LIMIT 1   [ RunTime:0.000268s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002729s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000295s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_om_chanpin` [ RunTime:0.002778s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 320 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 320 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002814s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = 40449  [ RunTime:0.000362s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 73 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 74 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_om_chanpin` [ RunTime:0.002710s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT DISTINCT  COUNT(*) AS tp_count FROM `myerpview_om_chanpin` WHERE ( `datatype` = '售价' ) AND ( `type` = '开放' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,40449')) LIMIT 1   [ RunTime:0.000389s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [2] Division by zero Page.class.php 第 75 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_chanpin` WHERE ( `datatype` = '售价' ) AND ( `type` = '开放' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,40449')) ORDER BY time desc LIMIT 0,20   [ RunTime:0.000495s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002517s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002378s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_shoujia` [ RunTime:0.002976s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_chanpin_shoujia` WHERE 1=1 AND chanpinID='31294' LIMIT 1   [ RunTime:0.000370s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002565s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002420s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_shoujia` [ RunTime:0.002778s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_chanpin_shoujia` WHERE 1=1 AND chanpinID='31193' LIMIT 1   [ RunTime:0.000322s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [8] Undefined variable: j MethodAction.class.php 第 533 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002535s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.002686s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_dataCopy` [ RunTime:0.002393s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.003130s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002550s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerp_dataCopy` WHERE `dataID` = '31175' and `datatype` = '线路' ORDER BY time desc LIMIT 1   [ RunTime:0.000253s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerp_system` WHERE `systemID` = '76' LIMIT 1   [ RunTime:0.000146s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `parentID` = '31175'  [ RunTime:0.000529s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31176' LIMIT 1   [ RunTime:0.000124s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002960s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002875s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND parentID='31176'  [ RunTime:0.000330s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [2] Invalid argument supplied for foreach() XiaoshouAction.class.php 第 33 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [8] Undefined index:  31176 XiaoshouAction.class.php 第 38 行.
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31177' LIMIT 1   [ RunTime:0.000119s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002808s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002893s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND parentID='31177'  [ RunTime:0.000348s ]
[ 2012-07-19T17:54:00+08:00 ] /Index.php?s=/Xiaoshou | NOTIC: [2] Invalid argument supplied for foreach() XiaoshouAction.class.php 第 33 行.
