[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002866s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 839 行.
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31322' and `datatype` = '线路' and `status` = '待检出' LIMIT 1   [ RunTime:0.000339s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 748 and defined MethodAction.class.php 第 757 行.
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 759 行.
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002504s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000210s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002636s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000356s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000311s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000303s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000300s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40178,,' ) LIMIT 1   [ RunTime:0.000298s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40178,40189,' ) LIMIT 1   [ RunTime:0.000297s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',40189,' ) LIMIT 1   [ RunTime:0.000291s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000370s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002584s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | SQL: SELECT * FROM `myerp_chanpin` WHERE `parentID` = '31322' and `marktype` = 'zituan' LIMIT 1   [ RunTime:0.000272s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_template ] --START--
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run LocationTemplate Behavior [ RunTime:0.000462s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.077039s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_parse ] --START--
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | NOTIC: [8] Undefined variable: root_shenqing2 1fedcd21c0a14d3ef063592e15e947ae.php 第 64 行.
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | NOTIC: [8] Undefined variable: root_shenhe 1fedcd21c0a14d3ef063592e15e947ae.php 第 67 行.
