[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerp_dataShenhe` [ RunTime:0.002516s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SELECT * FROM `myerp_dataShenhe` WHERE `datatype` = '线路' and `processID` = '2'  [ RunTime:0.000140s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002920s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000317s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002863s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 849 行.
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31334' and `datatype` = '线路' and `status` = '待检出' LIMIT 1   [ RunTime:0.000348s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 758 and defined MethodAction.class.php 第 767 行.
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 769 行.
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002459s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000183s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002651s ]
