[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002848s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_user` WHERE `title` = '我爱中华' LIMIT 1   [ RunTime:0.000340s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002406s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40893'  [ RunTime:0.000181s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40178' LIMIT 1   [ RunTime:0.000315s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004750s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `type` = '提成'  [ RunTime:0.000355s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  doprint XiaoshouAction.class.php 第 109 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  dobaoming XiaoshouAction.class.php 第 112 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_template ] --START--
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Run LocationTemplate Behavior [ RunTime:0.000703s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000750s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  companytype 5bb92ba7947e0d48aa26064e02757758.php 第 50 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Use of undefined constant pic_url - assumed 'pic_url' 5bb92ba7947e0d48aa26064e02757758.php 第 59 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Use of undefined constant pic_url - assumed 'pic_url' 5bb92ba7947e0d48aa26064e02757758.php 第 59 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Use of undefined constant pic_url - assumed 'pic_url' 5bb92ba7947e0d48aa26064e02757758.php 第 59 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Use of undefined constant xingcheng - assumed 'xingcheng' 5bb92ba7947e0d48aa26064e02757758.php 第 115 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [2] Invalid argument supplied for foreach() 5bb92ba7947e0d48aa26064e02757758.php 第 120 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [2] Invalid argument supplied for foreach() 5bb92ba7947e0d48aa26064e02757758.php 第 120 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  guojing 5bb92ba7947e0d48aa26064e02757758.php 第 133 行.
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Run ParseTemplate Behavior [ RunTime:0.011240s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011291s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_filter ] --START--
