[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ route_check ] --START--
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Run CheckRoute Behavior [ RunTime:0.000596s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000664s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ app_begin ] --START--
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000362s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000406s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003028s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000325s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003061s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000321s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\ChanpinAction.class.php on line 487 and defined MethodAction.class.php 第 780 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 782 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002513s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000201s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002507s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000394s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000398s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000365s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000328s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002773s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000297s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002767s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000291s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002789s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000259s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.002783s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31353' LIMIT 1   [ RunTime:0.000260s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002693s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002722s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.025246s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31334' LIMIT 1   [ RunTime:0.000378s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002962s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE `parentID` = '31353'  [ RunTime:0.000399s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002711s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002599s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31354'  [ RunTime:0.000184s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002695s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002643s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31357'  [ RunTime:0.000180s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002541s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002559s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31358'  [ RunTime:0.000192s ]
