[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [8] Undefined offset:  5 Model.class.php 第 965 行.
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: INSERT INTO `myerp_system` (`parentID`,`status`,`time`,`user_name`,`departmentID`) VALUES (43520,'待检出',1343372150,'aaa','40150') [ RunTime:0.046883s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: SHOW COLUMNS FROM `myerp_system_taskShenhe` [ RunTime:0.002959s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [8] Undefined offset:  0 RelationModel.class.php 第 456 行.
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: UPDATE `myerp_system_taskShenhe` SET `dataID`=31334,`datatype`='线路',`processID`=2,`remark`='11' WHERE ( `systemID` = 43521 ) [ RunTime:0.000180s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: SELECT * FROM `myerp_system_taskShenhe` WHERE ( `systemID` = 43521 ) LIMIT 1   [ RunTime:0.000138s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: INSERT INTO `myerp_system_taskShenhe` (`systemID`,`dataID`,`datatype`,`processID`,`remark`) VALUES (43521,31334,'线路',2,'11') [ RunTime:0.000135s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.035095s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [8] Undefined offset:  5 Model.class.php 第 965 行.
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: INSERT INTO `myerp_dataOM` (`dataID`,`datatype`,`type`,`DUR`,`time`) VALUES (43521,'审核任务','管理',',40185,',1343372150) [ RunTime:0.285063s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.006356s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | SQL: SELECT DISTINCT  `userID` FROM `myerpview_system_dur` WHERE `rolesID` = '40185'  [ RunTime:0.001183s ]
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [8] Undefined variable: userIDlist MethodAction.class.php 第 725 行.
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [2] array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array MethodAction.class.php 第 725 行.
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [2] array_unique() [<a href='function.array-unique'>function.array-unique</a>]: The argument should be an array MethodAction.class.php 第 726 行.
[ 2012-07-27T14:55:50+08:00 ] /Index.php?s=/Chanpin/doshenhe | NOTIC: [8] Undefined offset:  5 Model.class.php 第 965 行.
