[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_template ] --START--
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run LocationTemplate Behavior [ RunTime:0.000345s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_template ] --END-- [ RunTime:-0.029645s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_parse ] --START--
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run ParseTemplate Behavior [ RunTime:0.001592s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007292s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_filter ] --START--
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run ContentReplace Behavior [ RunTime:0.000042s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run TokenBuild Behavior [ RunTime:0.000039s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run ShowRuntime Behavior [ RunTime:0.000051s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.007664s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_end ] --START--
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_end ] --END-- [ RunTime:-0.007554s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run ParseTemplate Behavior [ RunTime:0.000067s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007292s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_filter ] --START--
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run ContentReplace Behavior [ RunTime:0.000164s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run TokenBuild Behavior [ RunTime:0.000132s ]
[ 2012-07-31T11:17:40+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
