[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ route_check ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run CheckRoute Behavior [ RunTime:0.001068s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001160s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ app_begin ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000777s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000835s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002852s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000343s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002669s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000286s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\ChanpinAction.class.php on line 771 and defined MethodAction.class.php 第 814 行.
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 816 行.
