[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.005128s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.005164s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SELECT COUNT(*) AS tp_count FROM `myerpview_chanpin_baozhang` LIMIT 1   [ RunTime:0.000424s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | NOTIC: [2] Division by zero Page.class.php 第 75 行.
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SELECT * FROM `myerpview_chanpin_baozhang` ORDER BY time desc LIMIT 0,20   [ RunTime:0.003216s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run LocationTemplate Behavior [ RunTime:0.000736s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000788s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003153s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000334s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run LocationTemplate Behavior [ RunTime:0.000347s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.036478s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | NOTIC: [8] Undefined variable: datatitle b30cabab87d73a25ac5418e1b290c6d0.php 第 5 行.
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ParseTemplate Behavior [ RunTime:0.006667s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006719s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ContentReplace Behavior [ RunTime:0.000286s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run TokenBuild Behavior [ RunTime:0.000298s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000167s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowRuntime Behavior [ RunTime:0.000321s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001205s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000307s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000350s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | NOTIC: [8] Undefined variable: datatitle eebd58264109fe771a531aabf388f41d.php 第 282 行.
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002988s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000313s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run LocationTemplate Behavior [ RunTime:0.000307s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.050343s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ParseTemplate Behavior [ RunTime:0.001438s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007106s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ContentReplace Behavior [ RunTime:0.000062s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run TokenBuild Behavior [ RunTime:0.000039s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.007372s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000019s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.007308s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ParseTemplate Behavior [ RunTime:0.000128s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007106s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ContentReplace Behavior [ RunTime:0.000084s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run TokenBuild Behavior [ RunTime:0.000096s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowRuntime Behavior [ RunTime:0.000062s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.007906s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --START--
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-08-03T14:34:50+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.007901s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | INFO: Tag[ route_check ] --START--
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | INFO: Run CheckRoute Behavior [ RunTime:0.000595s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | INFO: Tag[ route_check ] --END-- [ RunTime:0.000667s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | INFO: Tag[ app_begin ] --START--
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000366s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000410s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003292s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000358s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002634s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002942s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000443s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002968s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '线路数据' LIMIT 1   [ RunTime:0.000298s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40998' LIMIT 1   [ RunTime:0.000261s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40995' LIMIT 1   [ RunTime:0.000297s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40975' LIMIT 1   [ RunTime:0.000254s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002727s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000349s ]
[ 2012-08-03T14:34:51+08:00 ] /Index.php?s=/SetSystem/systemOM/datatype/%E7%BA%BF%E8%B7%AF | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005603s ]
