[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | INFO: Tag[ route_check ] --START--
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | INFO: Run CheckRoute Behavior [ RunTime:0.000860s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000954s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | INFO: Tag[ app_begin ] --START--
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000590s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000659s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.004025s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000427s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.004077s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000436s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\XiaoshouAction.class.php on line 54 and defined MethodAction.class.php 第 899 行.
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 901 行.
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.003780s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000480s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.003347s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31585 ) AND ( `datatype` = '售价' ) AND ( `type` IN ('开放','管理') ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000829s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.003280s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000367s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.003655s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000343s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.003362s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31585' LIMIT 1   [ RunTime:0.000203s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.003019s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.003050s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerp_chanpin_shoujia` WHERE 1=1 AND chanpinID='31585' LIMIT 1   [ RunTime:0.000191s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_dataCopy` [ RunTime:0.003016s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerp_dataCopy` WHERE `dataID` = '31412' and `datatype` = '线路' ORDER BY time desc LIMIT 1   [ RunTime:0.000316s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.005269s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '' and `type` = '视频' LIMIT 1   [ RunTime:0.000331s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '' and `type` = '图片' LIMIT 1   [ RunTime:0.000355s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.005374s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31417' LIMIT 1   [ RunTime:0.000355s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002926s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000323s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.003016s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31417' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000184s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003216s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003209s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE `status_system` = '1' AND parentID='31417'  [ RunTime:0.000488s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1342 行.
