[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --START--
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run LocationTemplate Behavior [ RunTime:0.000430s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.047338s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --START--
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ParseTemplate Behavior [ RunTime:0.001375s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.023199s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_filter ] --START--
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ContentReplace Behavior [ RunTime:0.000042s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run TokenBuild Behavior [ RunTime:0.000040s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ShowRuntime Behavior [ RunTime:0.000052s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.022759s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_end ] --START--
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-08-20T14:06:30+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.022581s ]
