[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_template ] --START--
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run LocationTemplate Behavior [ RunTime:0.000466s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.033144s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ParseTemplate Behavior [ RunTime:0.001494s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007684s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ContentReplace Behavior [ RunTime:0.000043s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run TokenBuild Behavior [ RunTime:0.000039s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ShowRuntime Behavior [ RunTime:0.000058s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.007532s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_end ] --START--
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000019s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.007438s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ParseTemplate Behavior [ RunTime:0.000078s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007684s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ContentReplace Behavior [ RunTime:0.000136s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run TokenBuild Behavior [ RunTime:0.000126s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ShowRuntime Behavior [ RunTime:0.000071s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.007968s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_end ] --START--
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-08-21T10:23:48+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.008075s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ route_check ] --START--
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run CheckRoute Behavior [ RunTime:0.000643s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000720s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ app_begin ] --START--
