[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --START--
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run LocationTemplate Behavior [ RunTime:0.000480s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.293027s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ParseTemplate Behavior [ RunTime:0.001454s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.266782s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ContentReplace Behavior [ RunTime:0.000046s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run TokenBuild Behavior [ RunTime:0.000044s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ShowRuntime Behavior [ RunTime:0.000051s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.267094s ]
[ 2012-08-21T11:30:35+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ view_end ] --START--
