[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_template ] --START--
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run LocationTemplate Behavior [ RunTime:0.000447s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.049277s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ParseTemplate Behavior [ RunTime:0.001473s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.019786s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ContentReplace Behavior [ RunTime:0.000040s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run TokenBuild Behavior [ RunTime:0.000039s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ShowRuntime Behavior [ RunTime:0.000052s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.019294s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_end ] --START--
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.019108s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ParseTemplate Behavior [ RunTime:0.000072s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.019786s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ContentReplace Behavior [ RunTime:0.000140s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run TokenBuild Behavior [ RunTime:0.000133s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ShowRuntime Behavior [ RunTime:0.000073s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.019718s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_end ] --START--
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-08-23T18:04:28+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31642 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.019748s ]
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --START--
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run CheckRoute Behavior [ RunTime:0.000588s ]
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --END-- [ RunTime:0.000657s ]
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000381s ]
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000441s ]
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003292s ]
[ 2012-08-23T18:04:32+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000333s ]
[ 2012-08-23T18:04:33+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003235s ]
[ 2012-08-23T18:04:33+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000321s ]
[ 2012-08-23T18:04:33+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002719s ]
[ 2012-08-23T18:04:33+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerp_chanpin` WHERE `marktype` = 'dingdan' and `status` = '占位' AND (`status_system` = '1')  [ RunTime:0.000543s ]
[ 2012-08-23T18:04:33+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1392 行.
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --START--
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run CheckRoute Behavior [ RunTime:0.000619s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --END-- [ RunTime:0.000698s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000381s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000429s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003821s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000430s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003410s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000365s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002796s ]
[ 2012-08-23T18:04:35+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerp_chanpin` WHERE `marktype` = 'dingdan' and `status` = '占位' AND (`status_system` = '1')  [ RunTime:0.000561s ]
