[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000675s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000759s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000425s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000489s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003408s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000384s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000425s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000485s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.006046s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006103s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000266s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000418s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000177s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000349s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001348s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000347s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000394s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run CheckRoute Behavior [ RunTime:0.000640s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000717s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000394s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000444s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003170s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000351s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | SQL: SHOW COLUMNS FROM `think_group` [ RunTime:0.002663s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | SQL: SELECT `id`,`title` FROM `think_group` WHERE status=1  [ RunTime:0.000167s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run LocationTemplate Behavior [ RunTime:0.000452s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000503s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run ParseTemplate Behavior [ RunTime:0.005482s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005547s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run ContentReplace Behavior [ RunTime:0.000239s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run TokenBuild Behavior [ RunTime:0.000611s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000217s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000380s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001632s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000314s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000357s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run CheckRoute Behavior [ RunTime:0.000672s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ route_check ] --END-- [ RunTime:0.000739s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000381s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000427s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003265s ]
