[ 2012-09-06T16:03:25+08:00 ] /rbac.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:25+08:00 ] /rbac.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000870s ]
[ 2012-09-06T16:03:25+08:00 ] /rbac.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001008s ]
[ 2012-09-06T16:03:25+08:00 ] /rbac.php | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.006363s ]
[ 2012-09-06T16:03:25+08:00 ] /rbac.php | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000681s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002175s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002310s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run ParseTemplate Behavior [ RunTime:0.120121s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.120257s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run ContentReplace Behavior [ RunTime:0.001025s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run TokenBuild Behavior [ RunTime:0.001051s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000842s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001175s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004371s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_end ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001165s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001262s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run CheckRoute Behavior [ RunTime:0.000858s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000954s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000539s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000606s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003174s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000397s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | SQL: SHOW COLUMNS FROM `think_group` [ RunTime:0.031210s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | SQL: SELECT `id`,`title` FROM `think_group` WHERE status=1  [ RunTime:0.000283s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run LocationTemplate Behavior [ RunTime:0.111749s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.111841s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run ParseTemplate Behavior [ RunTime:0.009204s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009297s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run ContentReplace Behavior [ RunTime:0.000356s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run TokenBuild Behavior [ RunTime:0.000541s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000231s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000459s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001772s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_end ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000473s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000536s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run CheckRoute Behavior [ RunTime:0.000858s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ route_check ] --END-- [ RunTime:0.000942s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000613s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000661s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.004611s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000493s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run LocationTemplate Behavior [ RunTime:0.001120s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_template ] --END-- [ RunTime:0.001189s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run ParseTemplate Behavior [ RunTime:0.064579s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064674s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run ContentReplace Behavior [ RunTime:0.000686s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run TokenBuild Behavior [ RunTime:0.000689s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000548s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run ShowRuntime Behavior [ RunTime:0.000776s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002882s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_end ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Run ShowPageTrace Behavior [ RunTime:0.000772s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_end ] --END-- [ RunTime:0.000837s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run CheckRoute Behavior [ RunTime:0.000836s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ route_check ] --END-- [ RunTime:0.000910s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000863s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000926s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.004334s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000494s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run LocationTemplate Behavior [ RunTime:0.001490s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_template ] --END-- [ RunTime:0.001566s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run ParseTemplate Behavior [ RunTime:0.009793s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009866s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run ContentReplace Behavior [ RunTime:0.000459s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run TokenBuild Behavior [ RunTime:0.000674s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000540s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run ShowRuntime Behavior [ RunTime:0.000722s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002518s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_end ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Run ShowPageTrace Behavior [ RunTime:0.000684s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_end ] --END-- [ RunTime:0.000726s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/main | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/main | INFO: Run CheckRoute Behavior [ RunTime:0.000841s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.000927s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/main | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000806s ]
